2025-09-19 18:21:21 | INFO | Processed message from Eve, sentiment=0.23
2025-09-19 18:21:25 | INFO | {'message': 'I just shared Python! It was exciting.', 'author': 'Bob', 'timestamp': '2025-09-19 18:21:25', 'category': 'tech', 'sentiment': 0.19, 'keyword_mentioned': 'Python', 'message_length': 38}
2025-09-19 18:21:25 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just shared Python! It was exciting.', 'author': 'Bob', 'timestamp': '2025-09-19 18:21:25', 'category': 'tech', 'sentiment': 0.19, 'keyword_mentioned': 'Python', 'message_length': 38}
2025-09-19 18:21:26 | INFO | Processed message from Bob, sentiment=0.19
2025-09-19 18:21:30 | INFO | {'message': 'I just tried game! It was weird.', 'author': 'Eve', 'timestamp': '2025-09-19 18:21:30', 'category': 'gaming', 'sentiment': 0.22, 'keyword_mentioned': 'game', 'message_length': 32}
2025-09-19 18:21:30 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just tried game! It was weird.', 'author': 'Eve', 'timestamp': '2025-09-19 18:21:30', 'category': 'gaming', 'sentiment': 0.22, 'keyword_mentioned': 'game', 'message_length': 32}
2025-09-19 18:21:31 | INFO | Processed message from Eve, sentiment=0.22
2025-09-19 18:21:35 | INFO | {'message': 'I just shared a movie! It was weird.', 'author': 'Bob', 'timestamp': '2025-09-19 18:21:35', 'category': 'entertainment', 'sentiment': 0.06, 'keyword_mentioned': 'movie', 'message_length': 36}
2025-09-19 18:21:35 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just shared a movie! It was weird.', 'author': 'Bob', 'timestamp': '2025-09-19 18:21:35', 'category': 'entertainment', 'sentiment': 0.06, 'keyword_mentioned': 'movie', 'message_length': 36}
2025-09-19 18:21:36 | INFO | Processed message from Bob, sentiment=0.06
2025-09-19 18:21:40 | INFO | {'message': 'I just tried a trick! It was amazing.', 'author': 'Eve', 'timestamp': '2025-09-19 18:21:40', 'category': 'other', 'sentiment': 0.85, 'keyword_mentioned': 'other', 'message_length': 37}
2025-09-19 18:21:40 | INFO | Sent message to Kafka topic 'project_json': {'message': 'I just tried a trick! It was amazing.', 'author': 'Eve', 'timestamp': '2025-09-19 18:21:40', 'category': 'other', 'sentiment': 0.85, 'keyword_mentioned': 'other', 'message_length': 37}
2025-09-19 18:21:41 | INFO | Processed message from Eve, sentiment=0.85
2025-09-19 18:21:45 | INFO | {'message': 'I just found Python! It was amazing.', 'author': 'Alice', 'timestamp': '2025-09-19 18:21:45', 'category': 'tech', 'sentiment': 0.98, 'keyword_mentioned': 'Python', 'message_length': 36}
